query,mode,runs,ok_runs,hits_med,latency_ms_min,latency_ms_med,latency_ms_p95,latency_ms_max,score_med_min,score_med_med,score_med_max
серпухов,ranked,10,10,50,388.404,393.366,401.680,407.342,0.096279,0.096279,0.096279
области,ranked,10,10,50,4193.316,4220.483,4231.400,4233.950,0.157196,0.157196,0.157196
новости,ranked,10,10,50,15784.305,15808.680,15857.273,15896.469,0.000005,0.000005,0.000005
серпухов AND области,boolean,10,10,0,174.403,175.265,176.832,178.630,,,
серпухов OR области,boolean,10,10,0,174.231,174.575,176.398,178.158,,,
NOT серпухов,boolean,10,10,0,174.087,176.189,188.420,189.931,,,
премии AND губернатора AND подмосковье,boolean,10,10,0,173.706,174.407,175.828,176.601,,,
ремонт OR дорога,boolean,10,10,0,174.557,175.172,175.916,177.603,,,
культура AND музей,ranked,10,10,1,175.382,176.080,180.061,185.888,0.111455,0.111455,0.111455
